Date,Differenced New Cases
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,5.0
2020-03-11,1.0
2020-03-12,1.0
2020-03-13,16.0
2020-03-14,4.0
2020-03-15,-10.0
2020-03-16,22.0
2020-03-17,-2.0
2020-03-18,16.0
2020-03-19,44.0
2020-03-20,-4.0
2020-03-21,25.0
2020-03-22,130.0
2020-03-23,28.0
2020-03-24,-64.0
2020-03-25,15.0
2020-03-26,-31.0
2020-03-27,4.0
2020-03-28,-17.0
2020-03-29,-13.0
2020-03-30,138.0
2020-03-31,127.0
2020-04-01,-80.0
2020-04-02,-56.0
2020-04-03,54.0
2020-04-04,50.0
2020-04-05,132.0
2020-04-06,111.0
2020-04-07,-148.0
2020-04-08,-106.0
2020-04-09,163.0
2020-04-10,-31.0
2020-04-11,-150.0
2020-04-12,63.0
2020-04-13,-13.0
2020-04-14,-174.0
2020-04-15,73.0
2020-04-16,98.0
2020-04-17,-46.0
2020-04-18,51.0
2020-04-19,103.0
2020-04-20,-34.0
2020-04-21,-95.0
2020-04-22,-25.0
2020-04-23,8.0
2020-04-24,-36.0
2020-04-25,-2.0
2020-04-26,13.0
2020-04-27,9.0
2020-04-28,94.0
2020-04-29,52.0
2020-04-30,24.0
2020-05-01,-34.0
2020-05-02,40.0
2020-05-03,23.0
2020-05-04,29.0
2020-05-05,73.0
2020-05-06,-63.0
2020-05-07,-60.0
2020-05-08,-3.0
2020-05-09,42.0
2020-05-10,-24.0
2020-05-11,35.0
2020-05-12,77.0
2020-05-13,-5.0
2020-05-14,-24.0
2020-05-15,-33.0
2020-05-16,78.0
2020-05-17,60.0
2020-05-18,17.0
2020-05-19,3.0
2020-05-20,-30.0
2020-05-21,-16.0
2020-05-22,259.0
2020-05-23,242.0
2020-05-24,-269.0
2020-05-25,-104.0
2020-05-26,149.0
