Date,Cases,1st_diff
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.0,0.0
2020-01-26,0.0,0.0
2020-01-27,0.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,0.0,0.0
2020-01-31,0.0,0.0
2020-02-01,0.0,0.0
2020-02-02,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,0.0,0.0
2020-03-08,0.0,0.0
2020-03-09,0.0,0.0
2020-03-10,0.0,0.0
2020-03-11,0.0,0.0
2020-03-12,0.0,-5.0
2020-03-13,5.0,4.0
2020-03-14,1.0,-5.0
2020-03-15,6.0,-11.0
2020-03-16,17.0,7.0
2020-03-17,10.0,3.0
2020-03-18,7.0,-25.0
2020-03-19,32.0,27.0
2020-03-20,5.0,-43.0
2020-03-21,48.0,-1.0
2020-03-22,49.0,5.0
2020-03-23,44.0,-30.0
2020-03-24,74.0,-100.0
2020-03-25,174.0,72.0
2020-03-26,102.0,-8.0
2020-03-27,110.0,-7.0
2020-03-28,117.0,38.0
2020-03-29,79.0,-42.0
2020-03-30,121.0,59.0
2020-03-31,62.0,-46.0
2020-04-01,108.0,-92.0
2020-04-02,200.0,-35.0
2020-04-03,235.0,115.0
2020-04-04,120.0,-59.0
2020-04-05,179.0,5.0
2020-04-06,174.0,-55.0
2020-04-07,229.0,-77.0
2020-04-08,306.0,-34.0
2020-04-09,340.0,182.0
2020-04-10,158.0,-76.0
2020-04-11,234.0,-87.0
2020-04-12,321.0,118.0
2020-04-13,203.0,32.0
2020-04-14,171.0,-95.0
2020-04-15,266.0,108.0
2020-04-16,158.0,66.0
2020-04-17,92.0,-139.0
2020-04-18,231.0,41.0
2020-04-19,190.0,5.0
2020-04-20,185.0,-56.0
2020-04-21,241.0,-47.0
2020-04-22,288.0,81.0
2020-04-23,207.0,14.0
2020-04-24,193.0,11.0
2020-04-25,182.0,-19.0
2020-04-26,201.0,55.0
2020-04-27,146.0,-53.0
2020-04-28,199.0,40.0
2020-04-29,159.0,-49.0
2020-04-30,208.0,-45.0
2020-05-01,253.0,-7.0
2020-05-02,260.0,-17.0
2020-05-03,277.0,51.0
2020-05-04,226.0,-91.0
2020-05-05,317.0,68.0
2020-05-06,249.0,-97.0
2020-05-07,346.0,24.0
2020-05-08,322.0,39.0
2020-05-09,283.0,21.0
2020-05-10,262.0,-18.0
2020-05-11,280.0,-24.0
2020-05-12,304.0,48.0
2020-05-13,256.0,-83.0
2020-05-14,339.0,6.0
2020-05-15,333.0,-1.0
2020-05-16,334.0,25.0
2020-05-17,309.0,8.0
2020-05-18,301.0,-86.0
2020-05-19,387.0,26.0
2020-05-20,361.0,-43.0
2020-05-21,404.0,40.0
2020-05-22,364.0,-10.0
2020-05-23,374.0,26.0
2020-05-24,348.0,-285.0
2020-05-25,633.0,43.0
2020-05-26,590.0,226.0
2020-05-27,364.0,-122.0
2020-05-28,486.0,-27.0
2020-05-29,513.0,86.0
2020-05-30,427.0,-84.0
2020-05-31,511.0,186.0
2020-06-01,325.0,116.0
2020-06-02,209.0,-11.0
2020-06-03,220.0,-88.0
2020-06-04,308.0,-340.0
2020-06-05,648.0,203.0
2020-06-06,445.0,23.0
2020-06-07,422.0,-69.0
2020-06-08,491.0,-75.0
2020-06-09,566.0,-259.0
2020-06-10,825.0,114.0
2020-06-11,711.0,-324.0
2020-06-12,1035.0,76.0
2020-06-13,959.0,141.0
2020-06-14,818.0,515.0
2020-06-15,303.0,-246.0
2020-06-16,549.0,-358.0
2020-06-17,907.0,172.0
2020-06-18,735.0,186.0
2020-06-19,549.0,91.0
2020-06-20,458.0,19.0
2020-06-21,439.0,-210.0
2020-06-22,649.0,-469.0
2020-06-23,1118.0,129.0
2020-06-24,989.0,-13.0
2020-06-25,1002.0,-21.0
2020-06-26,1023.0,843.0
2020-06-27,180.0,-1240.0
2020-06-28,1420.0,334.0
2020-06-29,1086.0,198.0
2020-06-30,888.0,-282.0
2020-07-01,1170.0,-523.0
2020-07-02,1693.0,778.0
2020-07-03,915.0,-46.0
